id,name,description,price,stock,category_id,created_at,updated_at,brand,colors,gender,season,source,source_url,style_attrs,tags,colors_clean,season_clean,tags_clean,product_group,text_profile
143,Rustik uzun elbise,Pamuk karışımlı iplikten üretilmiş uzun elbise. Bisiklet yaka ve kolsuz. Eva kesimli etek ucu.,5750.0,10,14,2026-03-24 16:24:39.089,2026-04-01 18:19:32.661387,Massimo Dutti,"[""white""]",female,"[""spring"", ""autumn""]",massimo-dutti,https://www.massimodutti.com/tr/bisiklet-yaka-dokumlu-midi-elbise-l06608510?pelement=57538638,"{""fit"": ""fitted"", ""style"": [""minimal"", ""smart-casual""], ""length"": ""midi"", ""volume"": ""low"", ""subtype"": [""midi""], ""material"": ""linen"", ""occasion"": [""daily"", ""office"", ""evening""], ""color_tone"": ""dark-neutral"", ""silhouette"": ""column"", ""product_group"": ""dress"", ""layering_level"": ""easy"", ""formality_level"": 3, ""outerwear_compatible"": true}","[""Dress"", ""Casual"", ""Maxi"", ""Regular"", ""Knit""]",['white'],"['spring', 'autumn']","['dress', 'casual', 'maxi', 'regular', 'knit']",dress,"Ürün: Rustik uzun elbise. Açıklama: Pamuk karışımlı iplikten üretilmiş uzun elbise. Bisiklet yaka ve kolsuz. Eva kesimli etek ucu.. Marka: Massimo Dutti. Renkler: white. Etiketler: dress, casual, maxi, regular, knit."
144,Keten midi halter elbise,"A kesim mini elbise. Kare yaka, kabarık kısa kollu. Arkada gizli fermuar kapama.",5750.0,10,14,2026-03-24 16:24:39.217,2026-04-01 18:19:32.661387,Massimo Dutti,"[""Chocolate Brown""]",female,"[""spring"", ""autumn""]",massimo-dutti,https://www.massimodutti.com/tr/keten-midi-halter-elbise-l06613748?pelement=57722712,"{""fit"": ""fitted"", ""style"": [""minimal"", ""smart-casual""], ""length"": ""midi"", ""volume"": ""low"", ""subtype"": [""midi""], ""material"": ""linen"", ""occasion"": [""daily"", ""office"", ""evening""], ""color_tone"": ""warm"", ""silhouette"": ""column"", ""product_group"": ""dress"", ""layering_level"": ""easy"", ""formality_level"": 3, ""outerwear_compatible"": true}","[""Dress"", ""Casual"", ""Maxi"", ""Slim-fit"", ""Linen""]",['chocolate brown'],"['spring', 'autumn']","['dress', 'casual', 'maxi', 'slim-fit', 'linen']",dress,"Ürün: Keten midi halter elbise. Açıklama: A kesim mini elbise. Kare yaka, kabarık kısa kollu. Arkada gizli fermuar kapama.. Marka: Massimo Dutti. Renkler: chocolate brown. Etiketler: dress, casual, maxi, slim-fit, linen."
193,Kemerli mini denim elbise,"Önü metal düğmeli, aynı kumaştan kemerli, ön cepli, kısa kollu, klasik yaka, kısa elbise.",6550.0,10,14,2026-03-24 16:38:26.284,2026-04-01 18:24:42.233619,Massimo Dutti,"[""Blue""]",female,"[""spring"", ""autumn""]",massimo-dutti,https://www.massimodutti.com/tr/desenli-dokumlu-elbise-l06602692?pelement=57401755,"{""fit"": ""relaxed"", ""style"": [""minimal"", ""smart-casual""], ""length"": ""midi"", ""volume"": ""medium"", ""subtype"": ""midi"", ""material"": ""satin"", ""occasion"": [""office"", ""evening""], ""color_tone"": ""warm-dark"", ""silhouette"": ""flared"", ""product_group"": ""dress"", ""layering_level"": ""moderate"", ""formality_level"": 3, ""outerwear_compatible"": false, ""compatible_categories"": [""shoes"", ""bag"", ""accessory""]}","[""Dress"", ""Casual"", ""School"", ""Mini"", ""Slim-fit"", ""Denim""]",['blue'],"['spring', 'autumn']","['dress', 'casual', 'school', 'mini', 'slim-fit', 'denim']",dress,"Ürün: Kemerli mini denim elbise. Açıklama: Önü metal düğmeli, aynı kumaştan kemerli, ön cepli, kısa kollu, klasik yaka, kısa elbise.. Marka: Massimo Dutti. Renkler: blue. Etiketler: dress, casual, school, mini, slim-fit, denim."
279,Yün karışımlı mini etek,"Pileli midi etek. Yüksek belli, yandan çıtçıt kapama detaylı.",3950.0,10,8,2026-03-24 18:07:49.994,2026-04-01 23:04:27.782723,Massimo Dutti,"[""Chocolate Brown""]",female,"[""summer"", ""spring""]",massimo-dutti,https://www.massimodutti.com/tr/yun-kar%C4%B1s%C4%B1ml%C4%B1-mini-etek-l05212506?pelement=57559702,"{""fit"": ""straight"", ""style"": [""office"", ""smart-casual"", ""minimal""], ""length"": ""mini"", ""volume"": ""low"", ""subtype"": [""skirt""], ""material"": ""wool"", ""occasion"": [""office"", ""daily""], ""color_tone"": ""dark-neutral"", ""silhouette"": ""straight"", ""product_group"": ""lower"", ""layering_level"": ""not_applicable"", ""formality_level"": 3, ""outerwear_compatible"": false, ""compatible_categories"": [""upper"", ""shoes"", ""bag"", ""accessory"", ""outerwear""]}","[""Skirt"", ""Office"", ""Casual"", ""Mini"", ""Regular"", ""Wool""]",['chocolate brown'],"['summer', 'spring']","['skirt', 'office', 'casual', 'mini', 'regular', 'wool']",mini skirt,"Ürün: Yün karışımlı mini etek. Açıklama: Pileli midi etek. Yüksek belli, yandan çıtçıt kapama detaylı.. Marka: Massimo Dutti. Renkler: chocolate brown. Etiketler: skirt, office, casual, mini, regular, wool."
294,Straight midi skirt with gathered sash - STUDIO,"Düz kesim mini etek. Yüksek bel, arkada fermuar kapamalı tasarım.",10550.0,10,8,2026-03-24 18:07:52.553,2026-04-01 23:04:27.782723,Massimo Dutti,"[""Black""]",female,"[""spring"", ""autumn""]",massimo-dutti,https://www.massimodutti.com/tr/straight-midi-skirt-with-gathered-sash--studio-l09201951?pelement=56778554,"{""fit"": ""straight"", ""style"": [""office"", ""smart-casual"", ""minimal""], ""length"": ""midi"", ""volume"": ""low"", ""subtype"": [""skirt""], ""material"": ""cotton"", ""occasion"": [""office"", ""daily"", ""evening""], ""color_tone"": ""dark-neutral"", ""silhouette"": ""column"", ""product_group"": ""lower"", ""layering_level"": ""not_applicable"", ""formality_level"": 3, ""outerwear_compatible"": false, ""compatible_categories"": [""upper"", ""shoes"", ""bag"", ""accessory"", ""outerwear""]}","[""Skirt"", ""Office"", ""Midi"", ""Cotton""]",['black'],"['spring', 'autumn']","['skirt', 'office', 'midi', 'cotton']",long skirt,"Ürün: Straight midi skirt with gathered sash - STUDIO. Açıklama: Düz kesim mini etek. Yüksek bel, arkada fermuar kapamalı tasarım.. Marka: Massimo Dutti. Renkler: black. Etiketler: skirt, office, midi, cotton."
509,Straight fit düşük bel jean,"Esnek denimden skinny jean. Yüksek belli, beş cep tasarımlı ve fermuar kapamalı.",3450.0,10,7,2026-03-24 19:20:03.889,2026-04-01 23:22:47.443669,Massimo Dutti,"[""Gray-Natural""]",female,"[""spring"", ""autumn"", ""winter""]",massimo-dutti,https://www.massimodutti.com/tr/straight-fit-dusuk-bel-jean-l05099698?pelement=58587205,"{""fit"": ""relaxed"", ""style"": [""casual"", ""minimal""], ""length"": ""maxi"", ""volume"": ""medium"", ""subtype"": [""jean""], ""material"": ""denim"", ""occasion"": [""daily"", ""weekend""], ""color_tone"": ""cool"", ""silhouette"": ""straight"", ""product_group"": ""lower"", ""layering_level"": ""not_applicable"", ""formality_level"": 2, ""outerwear_compatible"": false, ""compatible_categories"": [""upper"", ""outerwear"", ""shoes"", ""bag"", ""accessory""]}","[""Pants"", ""Denim"", ""Casual"", ""School"", ""Straight""]",['gray-natural'],"['spring', 'autumn', 'winter']","['pants', 'denim', 'casual', 'school', 'straight']",denim,"Ürün: Straight fit düşük bel jean. Açıklama: Esnek denimden skinny jean. Yüksek belli, beş cep tasarımlı ve fermuar kapamalı.. Marka: Massimo Dutti. Renkler: gray-natural. Etiketler: pants, denim, casual, school, straight."
106,İşlemeli pamuk karışımlı gömlek,Rahat overshirt stil. Açık yakalı ve uzun kollu. Göğüste yama cep detaylı.,4750.0,10,13,2026-03-24 16:15:10.48,2026-04-01 18:16:55.378145,Massimo Dutti,"[""White""]",female,"[""spring"", ""summer"", ""autumn""]",massimo-dutti,https://www.massimodutti.com/tr/islemeli-pamuk-kar%C4%B1s%C4%B1ml%C4%B1-gomlek-l05129629?pelement=60108957,"{""fit"": ""relaxed"", ""style"": [""minimal"", ""smart-casual"", ""romantic""], ""length"": null, ""volume"": ""medium"", ""subtype"": [""shirt""], ""material"": ""cotton"", ""occasion"": [""daily"", ""office"", ""evening""], ""color_tone"": ""soft-light"", ""silhouette"": ""straight"", ""product_group"": ""upper"", ""layering_level"": ""easy"", ""formality_level"": 3, ""outerwear_compatible"": true}","[""Topwear"", ""Shirt"", ""Office"", ""Regular"", ""Linen""]",['white'],"['spring', 'summer', 'autumn']","['topwear', 'shirt', 'office', 'regular', 'linen']",shirt,"Ürün: İşlemeli pamuk karışımlı gömlek. Açıklama: Rahat overshirt stil. Açık yakalı ve uzun kollu. Göğüste yama cep detaylı.. Marka: Massimo Dutti. Renkler: white. Etiketler: topwear, shirt, office, regular, linen."
231,Kombine kovboy çizme,"Kalın topuklu bilekte bot. Yuvarlak burunlu, yanlarda fermuar kapamalı. Deri üst parça.",4990.0,10,15,2026-03-24 18:07:41.132,2026-04-01 23:00:13.872048,Zara,"[""Brown"", ""Off White""]",female,"[""winter"", ""autumn""]",massimo-dutti,https://www.massimodutti.com/tr/dokumlu-pilili-sort-etek-l05019527?pelement=60329370,"{""style"": [""casual""], ""volume"": ""medium"", ""subtype"": [""boot""], ""material"": ""leather"", ""occasion"": [""daily"", ""weekend""], ""color_tone"": ""warm"", ""product_group"": ""shoes"", ""layering_level"": ""not_applicable"", ""formality_level"": 1, ""outerwear_compatible"": false, ""compatible_categories"": [""upper"", ""lower"", ""dress"", ""outerwear"", ""bag"", ""accessory""]}","[""Shoes"", ""Boots"", ""Casual"", ""Leather""]","['brown', 'off white']","['winter', 'autumn']","['shoes', 'boots', 'casual', 'leather']",boots,"Ürün: Kombine kovboy çizme. Açıklama: Kalın topuklu bilekte bot. Yuvarlak burunlu, yanlarda fermuar kapamalı. Deri üst parça.. Marka: Zara. Renkler: brown, off white. Etiketler: shoes, boots, casual, leather."
336,Ekose astarlı oversize trençkot,Klasik yakalı uzun kaban. İki sıra düğmeli kapama. Fileto cepler ve arka yırtmaç.,13950.0,10,1,2026-03-24 18:30:03.27,2026-04-01 23:10:35.254823,Massimo Dutti,"[""Khaki""]",female,"[""spring"", ""autumn""]",massimo-dutti,https://www.massimodutti.com/tr/ekose-astarl%C4%B1-oversize-trenckot-l06714233?pelement=59909738,"{""fit"": ""relaxed"", ""style"": [""minimal"", ""smart-casual""], ""length"": ""maxi"", ""volume"": ""high"", ""subtype"": [""coat""], ""material"": ""cotton"", ""occasion"": [""daily"", ""office"", ""weekend""], ""color_tone"": ""neutral"", ""silhouette"": ""straight"", ""product_group"": ""outerwear"", ""layering_level"": ""moderate"", ""formality_level"": 4, ""outerwear_compatible"": false, ""compatible_categories"": [""lower"", ""upper"", ""shoes"", ""bag""]}","[""Outerwear"", ""Trench Coat"", ""Casual"", ""Maxi"", ""Regular"", ""Cotton""]",['khaki'],"['spring', 'autumn']","['outerwear', 'trench coat', 'casual', 'maxi', 'regular', 'cotton']",trench_coat,"Ürün: Ekose astarlı oversize trençkot. Açıklama: Klasik yakalı uzun kaban. İki sıra düğmeli kapama. Fileto cepler ve arka yırtmaç.. Marka: Massimo Dutti. Renkler: khaki. Etiketler: outerwear, trench coat, casual, maxi, regular, cotton."
110,Suni süet toka detaylı top,"Dik yaka, kolsuz ve omuzları büzgülü top. Toka detaylı ayarlanabilir etek ucu. Arkası gizli düğme iliklemeli.",5750.0,10,4,2026-03-24 16:15:11.342,2026-04-01 18:16:55.378145,Massimo Dutti,"[""Pink""]",female,"[""spring"", ""summer""]",massimo-dutti,https://www.zara.com/tr/tr/suni-suet-toka-detayli-top-p02185545.html?v1=501597471&v2=2419920,"{""fit"": ""regular"", ""style"": [""daily"", ""casual""], ""length"": ""crop"", ""volume"": ""medium"", ""subtype"": [""blouse""], ""material"": ""suede"", ""occasion"": [""daily"", ""weekend"", ""evening""], ""color_tone"": ""cool"", ""silhouette"": ""straight"", ""product_group"": ""upper"", ""layering_level"": ""difficult"", ""formality_level"": 3, ""outerwear_compatible"": false}","[""Topwear"", ""Blouse"", ""Casual"", ""Slim-fit"", ""Belted"", ""Suede""]",['pink'],"['spring', 'summer']","['topwear', 'blouse', 'casual', 'slim-fit', 'belted', 'suede']",blouse,"Ürün: Suni süet toka detaylı top. Açıklama: Dik yaka, kolsuz ve omuzları büzgülü top. Toka detaylı ayarlanabilir etek ucu. Arkası gizli düğme iliklemeli.. Marka: Massimo Dutti. Renkler: pink. Etiketler: topwear, blouse, casual, slim-fit, belted, suede."
